WELL,I,J,K,DEPTH,PROPERTY,COST,WWCT_cost,WOPR_cost,WSWP_cost,WGPR_cost,class_
BEGJP1P8,113,548,3,3831.86,WSWP,93580.6547241211,1510.249124725582,88318.13086318971,93580.6547241211,150034.75019654632,2
BEGJP892,112,654,4,3957.85,WSWP,127757.48046875,3636.332757413387,235467.63418388373,127757.48046875,177897.72583406558,2
BEGJP5P9,101,437,1,3570.3,WSWP,118382.96301269533,865.9187713710126,22732.0605211258,118382.96301269533,54239.497204355896,2
BEGJP8P1,84,599,1,3842.08,WSWP,81727.44097900389,875.6722478445154,54567.57645322755,81727.44097900389,68352.97173025088,2
BEGJP885,76,392,215,3938.53,WSWP,142994.40173339847,121.23389014601707,1432.6311340332031,142994.40173339847,20067.1846902743,1
BEGJP891,58,529,217,3788.58,WSWP,140813.01354980472,493.77020740509033,7935.330689102411,140813.01354980472,98932.7790036453,1
BEGJP928,108,268,4,3680.58,WSWP,121794.67321777345,1767.861648715043,151741.2385160923,121794.67321777345,174180.3671315799,2
BEGJP588,59,453,212,3839.59,WSWP,138301.240234375,134.4979446474463,5831.352093696594,138301.240234375,103147.3871962526,1
BEGJP925,108,278,3,3667.68,WSWP,120068.66748046875,2297.8539765776372,165478.07719755173,120068.66748046875,163051.13051284105,2
BEGJP1P8,95,524,2,3588.76,WSWP,111234.37127685547,152.9893706488656,1949.2069072723389,111234.37127685547,45397.448853321366,2
BEGJP5P1,114,452,4,3713.99,WSWP,108365.23455810547,1741.5599378413754,120880.3613305092,108365.23455810547,143972.416736722,2
BEGJP1P5,99,537,5,3676.7,WSWP,98263.3046875,603.992239650921,12052.266840606928,98263.3046875,49257.89642228187,2
BEGJP192,46,469,219,3787.33,WSWP,147081.37609863278,794.6345738470552,29889.45542907715,147081.37609863278,67750.48675294966,1
BEGJP8PP,68,597,3,3747.4,WSWP,154361.36059570312,3753.090509593487,288951.75441670424,154361.36059570312,29766.831769600518,2
BEGJP589,59,426,216,3844.71,WSWP,119270.11053466795,320.06334602832794,6671.761536121368,119270.11053466795,24759.202611786317,1
BEGJP581,112,485,5,3724.34,WSWP,85569.50708007812,412.1559446586762,36815.86169433594,85569.50708007812,134569.8420792222,2
BEGJP592,115,495,3,3766.05,WSWP,86525.22576904298,2201.222611508798,128691.22357177734,86525.22576904298,130123.79168072346,2
BEGJP829,119,699,12,4033.11,WSWP,170656.43395996097,1783.8508914709091,113003.37149175256,170656.43395996097,158016.80498847365,2
BEGJP188,57,495,215,3782.01,WSWP,153427.05725097653,450.3338851928711,2973.6836358979344,153427.05725097653,21316.469562761486,1
BEGJP598,100,489,3,3600.03,WSWP,100643.74774169922,57.41081462753937,2090.1251831054688,100643.74774169922,55881.18156845868,2
BEGJP881,64,413,213,3876.58,WSWP,117759.20056152345,711.0483250319957,20792.535454154007,117759.20056152345,66053.88557176293,1
BEGJP5P2,111,445,1,3679.1,WSWP,110918.28759765624,127.2327736482257,5288.126647949219,110918.28759765624,100660.76770628989,2
BEGJP932,115,359,4,3708.9,WSWP,99279.36322021484,1080.9598951457883,107775.18947792053,99279.36322021484,165208.66156443677,2
BEGJP88P,62,541,215,3837.03,WSWP,166318.46655273438,1676.7836117446427,78123.58837890625,166318.46655273438,82420.1985462904,2
BEGJP819,125,729,15,4077.31,WSWP,174977.83374023438,2272.570755362511,107306.27911615373,174977.83374023438,165783.4760534335,2
BEGJP5P8,52,419,5,3219.57,WSWP,109838.28259277344,518.9873204425967,52397.91503202915,109838.28259277344,145691.76070656627,2
BEGJP5P3,103,457,4,3613.14,WSWP,102834.18084716797,32.72120509610977,1007.495147705078,102834.18084716797,51668.94778844714,2
BEGJP189,59,442,213,3850.07,WSWP,128363.60388183595,261.1215165574104,9915.014770507812,128363.60388183595,59955.75910107793,1
BEGJP592,100,506,3,3623.74,WSWP,150376.63610839847,7183.159878730774,267833.9678113775,150376.63610839847,4620.7536604673805,2
BEGJP238,142,348,6,4188.92,WSWP,261748.09619140625,0.0,0.0,261748.09619140625,0.0,0
BEGJP818,122,760,19,4093.52,WSWP,145471.33239746097,1657.2856653928754,90757.03569948672,145471.33239746097,145211.2926993817,2
BEGJP815,126,822,21,4058.08,WSWP,180592.44299316406,3756.865862846375,219022.34483408925,180592.44299316406,55508.6472456567,2
BEGJP192,10,574,16,4159.12,WSWP,229456.310546875,0.0,0.0,229456.310546875,0.0,0
BEGJP191,95,429,4,3515.26,WSWP,129524.58337402345,7599.26491876319,269205.0284012095,129524.58337402345,15944.435890291259,2
BEGJP1P2,95,405,3,3487.65,WSWP,90792.19500732422,510.4426161714364,23183.161376953125,90792.19500732422,73943.3697264716,2
BEGJP1PP,118,518,2,3821.11,WSWP,83514.30926513673,1862.2557850056326,113057.65494537355,83514.30926513673,143941.40207849446,2
BEGJP1P1,115,511,2,3776.46,WSWP,82488.39752197267,1600.4738433873279,122527.62176513672,82488.39752197267,132452.95490801337,2
BEGJP8P2,54,480,1,3244.07,WSWP,131128.81555175778,167.1231967683416,5107.86669921875,131128.81555175778,47410.37346773221,2
BEGJP812,59,594,1,3650.03,WSWP,155647.44775390625,4079.239653026336,279131.94577026373,155647.44775390625,38935.16929790005,2
BEGJP818,126,788,13,4070.86,WSWP,168456.57568359375,2491.4944270551205,106194.63292527199,168456.57568359375,140930.62860672362,2
BEGJ9P95,57,370,116,3585.97,WSWP,132977.28454589847,0.0,0.0,132977.28454589847,0.0,0
BEGJ1P95,58,369,212,4076.51,WSWP,166220.19250488278,0.0,0.0,166220.19250488278,0.0,0
BEGJP12P,117,905,5,4205.64,WSWP,206327.36743164065,0.0,0.0,206327.36743164065,0.0,0
BEGJP888,97,372,3,3497.9,WSWP,98177.78308105467,93.2889148539398,4294.61083984375,98177.78308105467,95103.38991054149,2
BEGJP988,68,337,7,3315.19,WSWP,99582.73815917967,2732.132541022205,140051.88713645935,99582.73815917967,61073.77198381723,2
BEGJP985,81,295,1,3422.56,WSWP,82549.79357910156,1117.6499154183548,18789.832656562332,82549.79357910156,87637.68725550175,2
BEGJP981,128,34,3,4001.38,WSWP,134207.78918457028,2385.784317747457,192810.24542236328,134207.78918457028,83978.92589242011,2
BEGJP851,68,382,2,3271.18,WSWP,57960.580749511726,5.553705594036728,3179.879725456238,57960.580749511726,66463.57852104306,2
